,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
43,BBC News (World),Mystery illness sees Canada half its Cuba embassy staff https://t.co/IveYFsQl1U,Thu Jan 31 00:22:38 +0000 2019,-0.4019,0.0,0.769,0.231
44,BBC News (World),The Indians sharing their villages with crocodiles https://t.co/IjPYKyVoB9,Thu Jan 31 00:10:54 +0000 2019,0.4215,0.286,0.714,0.0
45,BBC News (World),Nastya Rybka: Model who got caught up in the Trump-Russia row https://t.co/utmYhHpq8S,Thu Jan 31 00:08:47 +0000 2019,0.0,0.0,1.0,0.0
46,BBC News (World),Brexit: Why Dutch fear no deal will leave onions to rot https://t.co/mHFCjhBhfo,Thu Jan 31 00:01:52 +0000 2019,-0.6808,0.0,0.577,0.423
47,BBC News (World),TV producer fired calling NFL's Tom Brady a 'known cheater' https://t.co/dKlcv3CBVh,Wed Jan 30 23:04:29 +0000 2019,-0.7964,0.0,0.53,0.47
48,BBC News (World),RT @BBCNews: Facebook users continue to grow despite privacy scandals https://t.co/DI8uaaaYhk,Wed Jan 30 22:52:38 +0000 2019,0.3875,0.208,0.792,0.0
49,BBC News (World),Saudi Arabia ends major anti-corruption campaign https://t.co/G9npGOtaSL,Wed Jan 30 22:38:07 +0000 2019,0.0,0.0,1.0,0.0
50,BBC News (World),RT @BBCNewsAus: Hakeem Al-Araibi: Bahraini footballer's wife pleads for his release https://t.co/sA25yAR233,Wed Jan 30 22:20:42 +0000 2019,0.0,0.0,1.0,0.0
51,BBC News (World),What it's like to go to work in a #polarvortex? 🥶https://t.co/c7wZ7fvDTt,Wed Jan 30 22:20:04 +0000 2019,0.3612,0.217,0.783,0.0
52,BBC News (World),"When it's so cold you have to set the train tracks on fire just to get to work... 🥶🥶🥶 
[Tap to expand]… https://t.co/2GcWteSQ08",Wed Jan 30 22:19:38 +0000 2019,-0.34,0.0,0.902,0.098
53,BBC News (World),RT @BBCNorthAmerica: What it's like to go to work in a 'polar vortex'? https://t.co/FlrweGTjSg,Wed Jan 30 21:42:36 +0000 2019,0.3612,0.172,0.828,0.0
54,BBC News (World),RT @BBCNorthAmerica: How do you compost a human body - and why would you? https://t.co/rs7eh6Ecfy,Wed Jan 30 21:25:51 +0000 2019,0.0,0.0,1.0,0.0
55,BBC News (World),"""It's pretty brutal out there!"" ❄️❄️❄️ 

Look what happens when you throw hot water in the middle of a #PolarVortex… https://t.co/jIJ9MEVoKy",Wed Jan 30 20:26:22 +0000 2019,-0.2942,0.125,0.703,0.172
56,BBC News (World),Brussels Jewish Museum attack: Fake gun left for lawyer https://t.co/RFlLlheQOW,Wed Jan 30 19:56:44 +0000 2019,-0.8225,0.0,0.449,0.551
57,BBC News (World),"RT @BBCNorthAmerica: Are you in a romantic relationship with someone of a different race, ethnicity or culture? 
 
What do you love about i…",Wed Jan 30 19:15:58 +0000 2019,0.7845,0.266,0.734,0.0
58,BBC News (World),"RT @BBCNews: Dutch euthanasia rules are leading some dementia patients to ask to die earlier than they want.
Some want that to change 
#Lon…",Wed Jan 30 19:13:56 +0000 2019,-0.5106,0.095,0.764,0.142
59,BBC News (World),@BBCAfrica Find out more about the life and death of journalist Ahmed Hussein-Suale https://t.co/xMSCEgeMGS,Wed Jan 30 18:15:22 +0000 2019,-0.5994,0.0,0.769,0.231
60,CBS News,Jury awards Rand Paul more than $580K after attack by neighbor in Kentucky https://t.co/yU2K11BLif https://t.co/cqWlhznVDw,Thu Jan 31 04:03:05 +0000 2019,-0.0258,0.157,0.681,0.162
61,CBS News,The Beatles' historic final concert held on rooftop 50 years ago https://t.co/D5rgv3fm9y https://t.co/qP9ZFYow7V,Thu Jan 31 04:00:00 +0000 2019,0.0,0.0,1.0,0.0
62,CBS News,"ICE told hundreds of immigrants to show up to court Thursday — for many, those hearings are fake… https://t.co/3rzxcUjJLK",Thu Jan 31 03:39:38 +0000 2019,0.0,0.0,1.0,0.0
63,CBS News,REUNITED: This man found his biological mother and flew to Houston so they could finally meet for the first time. T… https://t.co/Xd9rh5go6x,Thu Jan 31 03:20:14 +0000 2019,0.0,0.0,1.0,0.0
64,CBS News,Texas inmate executed for fatal shooting of 24-year-old Houston police officer https://t.co/3Hhumi4tiY https://t.co/WBh4R482ar,Thu Jan 31 03:00:01 +0000 2019,-0.5423,0.0,0.774,0.226
65,CBS News,"Frankly, my dear, you should give a damn because ""Gone with the Wind"" is returning to select theaters for its 80th… https://t.co/ldFESyVBVm",Thu Jan 31 02:40:14 +0000 2019,-0.0258,0.107,0.782,0.111
66,CBS News,Vice President Mike Pence to rally support for Venezuela's opposition leader Juan Guaidó in Miami… https://t.co/RrxhTaxdwv,Thu Jan 31 02:24:20 +0000 2019,0.4019,0.153,0.847,0.0
67,CBS News,"Jordan Peele's ""Twilight Zone"" reboot announces premiere date https://t.co/mtkgKd3STi https://t.co/nD5DGgBFjZ",Thu Jan 31 02:00:01 +0000 2019,0.0,0.0,1.0,0.0
68,CBS News,"DIVINE ELECTION?: Sarah Huckabee Sanders says that God ""wanted Donald Trump to become president.""… https://t.co/V3aICJAyqS",Thu Jan 31 01:39:52 +0000 2019,0.7531,0.331,0.669,0.0
69,CBS News,President Trump once lauded Harley-Davidson as a symbol of American manufacturing. But his trade war is one reason… https://t.co/ZHR2NzQ3xS,Thu Jan 31 01:19:51 +0000 2019,-0.5994,0.0,0.813,0.187
70,CBS News,Democrats demand to know why Treasury Department lifted sanctions on companies with ties to a Russian oligarch… https://t.co/zp7HyI29uM,Thu Jan 31 00:59:38 +0000 2019,0.0772,0.098,0.82,0.082
71,CBS News,"Take a look inside Atlanta's dazzling Mercedes-Benz Stadium, the $2 billion home of this year's Super Bowl… https://t.co/Qog9vIQyDP",Thu Jan 31 00:40:00 +0000 2019,0.5994,0.196,0.804,0.0
72,CBS News,President Trump will deliver his State of the Union address on Tuesday — after it was delayed during the government… https://t.co/FoUCY0psGS,Thu Jan 31 00:20:04 +0000 2019,-0.2263,0.0,0.909,0.091
73,CBS News,Is Georgia the new Ohio? 2020 presidential candidates are getting involved early in Georgia politics… https://t.co/YNoPGOWOcd,Thu Jan 31 00:02:28 +0000 2019,0.0,0.0,1.0,0.0
74,CBS News,"GET BACK: 50 years ago, the Beatles got on a roof and played their final concert. @JimAxelrod talks to the director… https://t.co/MJJzSYTTjM",Thu Jan 31 00:01:57 +0000 2019,0.34,0.107,0.893,0.0
75,CBS News,Where's the green? Jobs in the cannabis industry are blazing https://t.co/AbsujW4YaK https://t.co/XmWChZvOyG,Thu Jan 31 00:00:02 +0000 2019,0.0,0.0,1.0,0.0
76,CBS News,"RT @CBSEveningNews: After screening hundreds of hours of footage, Chicago PD are focusing on 2 persons of interest captured in what authori…",Wed Jan 30 23:57:04 +0000 2019,0.4588,0.13,0.87,0.0
77,CBS News,Venezuelan President Nicolas Maduro warned President Trump that a U.S. military intervention in Venezuela would tur… https://t.co/5gYDd7FBaB,Wed Jan 30 23:48:32 +0000 2019,-0.2732,0.0,0.877,0.123
78,CBS News,"RT @CBSEveningNews: Ahead of Super Bowl LIII, NFL commissioner Roger Goodell spoke publicly for the first time about the controversial no-c…",Wed Jan 30 23:47:58 +0000 2019,0.4767,0.158,0.769,0.073
79,CBS News,"RT @CBSEveningNews: Pres. Trump said his intelligence chiefs should ""go back to school,"" after their congressional testimony contradicted m…",Wed Jan 30 23:43:01 +0000 2019,0.2023,0.138,0.759,0.103
80,The New York Times,RT @amychozick: Charlie Rose. Gerlado Rivera. Howard Stern. Al Franken. These are the men who told us what to think about the John and Lore…,Thu Jan 31 04:15:05 +0000 2019,0.0,0.0,1.0,0.0
81,The New York Times,An undocumented immigrant who worked at one of President Trump’s golf clubs for years will attend his State of the… https://t.co/fQUpQmxT25,Thu Jan 31 04:00:03 +0000 2019,0.0,0.0,1.0,0.0
82,The New York Times,"A jury in Kentucky awarded Senator Rand Paul more than $580,000 in damages in a lawsuit that he filed against a nei… https://t.co/6ygRvhH5uQ",Thu Jan 31 03:45:04 +0000 2019,-0.2732,0.11,0.694,0.196
83,The New York Times,RT @nytDeniseGrady: Beware of toothpicks. A young athlete became critically ill after he swallowed one without knowing it. from a sandwich.…,Thu Jan 31 03:30:02 +0000 2019,-0.4215,0.0,0.865,0.135
84,The New York Times,"What is causing such extreme weather across the United States? The polar vortex, a system of wind and cold air over… https://t.co/NGxZrTEWSD",Thu Jan 31 03:15:06 +0000 2019,0.4215,0.123,0.877,0.0
85,The New York Times,"A move by Apple to cut off Facebook’s access to apps and updates that it was working on internally was ""the cleares… https://t.co/rwRiKWqGuX",Thu Jan 31 03:00:08 +0000 2019,-0.2732,0.0,0.909,0.091
86,The New York Times,"RT @nytimesarts: After the ""Empire"" star Jussie Smollett reported an attack, there weren't many answers Wednesday from the investigation. T…",Thu Jan 31 02:45:06 +0000 2019,-0.4767,0.0,0.86,0.14
87,The New York Times,A Dutch church’s nonstop 96-day vigil finally came to an end after its organizers received confirmation that a fami… https://t.co/8Wd5q5sqie,Thu Jan 31 02:30:09 +0000 2019,0.0,0.0,1.0,0.0
88,The New York Times,"RT @nytopinion: .@jguaido: Maduro’s time is running out, but in order to manage his exit with the minimum of bloodshed, all of Venezuela mu…",Thu Jan 31 02:15:03 +0000 2019,0.0,0.0,1.0,0.0
89,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/2eDZDP909z,Thu Jan 31 02:00:05 +0000 2019,0.0,0.0,1.0,0.0
90,The New York Times,"In India, small merchants have pushed the government to rein in Amazon and Walmart. “I know my next-door shopkeeper… https://t.co/qaVGSSE3Lk",Thu Jan 31 01:45:07 +0000 2019,0.1779,0.082,0.918,0.0
91,The New York Times,"After a painful year of scandals centered on how Facebook handles people’s data, the social network said that it ha… https://t.co/7b59ZJRUFB",Thu Jan 31 01:30:13 +0000 2019,-0.7269,0.0,0.747,0.253
92,The New York Times,"RT @nytimesbooks: A podcast devoted to the Harry Potter books has a cult following, with their own merch, meet-ups and fan art. Meet @mallo…",Thu Jan 31 01:15:09 +0000 2019,0.6124,0.2,0.8,0.0
93,The New York Times,The largest infrastructure project ever is growing in the middle of nowhere. China aims to make a remote Kazakh tow… https://t.co/3Bp0SSGTCx,Thu Jan 31 01:00:11 +0000 2019,0.1779,0.082,0.918,0.0
94,The New York Times,"They moved in, and they didn't want to leave. This Siberian cave was occupied by a mysterious human lineage for mor… https://t.co/LyN3iXrhGJ",Thu Jan 31 00:45:09 +0000 2019,-0.0191,0.054,0.889,0.057
95,The New York Times,"In the 1990s, the woman then known as Lorena Bobbitt was the topic of tabloid headlines and comedy skits. Now, as a… https://t.co/FOx8xRNnY1",Thu Jan 31 00:31:06 +0000 2019,0.3612,0.102,0.898,0.0
96,The New York Times,"RT @jdavidgoodman: Amazon is making some promises for Queens, including hiring public housing residents and starting education programs.

W…",Thu Jan 31 00:15:05 +0000 2019,0.5106,0.202,0.798,0.0
97,The New York Times,"“I just dropped off the face of the earth for 45 days,” the figure skater Gracie Gold said. “It was liberating.” https://t.co/xaYaYGAmxL",Thu Jan 31 00:00:08 +0000 2019,0.0,0.0,1.0,0.0
98,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/zhRxFsWDmm,Wed Jan 30 23:45:05 +0000 2019,0.0,0.0,1.0,0.0
99,The New York Times,"For a documentary on the Beatles, the director Peter Jackson will use never-released footage of the band working on… https://t.co/U3UKY7mg0x",Wed Jan 30 23:30:11 +0000 2019,0.0,0.0,1.0,0.0
100,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
101,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
102,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
103,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
104,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
105,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
106,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
107,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
108,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
109,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
110,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
111,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
112,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
113,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
114,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
115,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
116,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
117,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
118,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
119,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
120,CNN,"Lyft is suing the New York City Taxi and Limousine Commission over its first-of-a-kind driver minimum wage law, cla… https://t.co/EUszWOgraW",Thu Jan 31 04:16:05 +0000 2019,-0.2732,0.0,0.9,0.1
121,CNN,It's been so cold in Chicago that workers set fire to railroad tracks just to keep the trains moving. The extreme c… https://t.co/RR2EsdBoYB,Thu Jan 31 04:04:12 +0000 2019,-0.34,0.0,0.902,0.098
122,CNN,Domino's is chasing new clients by rewarding them for eating pizza — even if they buy it from a competitor… https://t.co/JZadNuYE50,Thu Jan 31 04:01:02 +0000 2019,0.5267,0.159,0.841,0.0
123,CNN,Dog-walking has reportedly been banned from public places in Iran's capital https://t.co/GYoMPeRFEh,Thu Jan 31 03:46:06 +0000 2019,-0.4588,0.0,0.786,0.214
124,CNN,"Talks with North Korea's top negotiator ""got nowhere"" on denuclearization, sources say https://t.co/QRomfEUWi9 https://t.co/Y3xFT4E8iy",Thu Jan 31 03:36:03 +0000 2019,0.2023,0.122,0.878,0.0
125,CNN,"Along with regular de-icing of planes before take-off, airlines put their aircraft through rigorous testing in some… https://t.co/X4LKfIrUSC",Thu Jan 31 03:34:18 +0000 2019,-0.2732,0.0,0.89,0.11
126,CNN,President Trump seethed as he watched the highlights of his intelligence chiefs testifying on Capitol Hill and sing… https://t.co/JVhFX2kwJi,Thu Jan 31 03:31:08 +0000 2019,0.4767,0.147,0.853,0.0
127,CNN,"Instead of sugary treats, fatty chips, or high-calorie sodas, a vending machine at this elementary school is filled… https://t.co/xjNqSab1Od",Thu Jan 31 03:31:06 +0000 2019,0.0,0.0,1.0,0.0
128,CNN,"""Our officials are human"": NFL Commissioner Roger Goodell breaks silence on controversial no-call during NFC champi… https://t.co/VMBMzyrVex",Thu Jan 31 03:26:28 +0000 2019,-0.7378,0.0,0.706,0.294
129,CNN,A senior Treasury Department official pleaded not guilty in Manhattan federal court to charges that she disclosed s… https://t.co/iBjmd3poGJ,Thu Jan 31 03:25:39 +0000 2019,0.2575,0.195,0.706,0.099
130,CNN,"Taiwanese electronics giant Foxconn is now planning to recruit workers for a ""technology hub"" in Wisconsin rather t… https://t.co/MksZZjRbuV",Thu Jan 31 03:19:04 +0000 2019,0.0,0.0,1.0,0.0
131,CNN,RT @CuomoPrimeTime: .@chriscuomo to Pres. Trump on his trade policies: Tell the truth. Confront the truth. Realize that there are new chall…,Thu Jan 31 03:18:00 +0000 2019,0.4404,0.182,0.751,0.067
132,CNN,"RT @CuomoPrimeTime: .@ChrisCuomo: If Trump is distorting the facts about national security, his distorted reality is in itself arguably a n…",Thu Jan 31 03:17:50 +0000 2019,-0.5267,0.095,0.635,0.27
133,CNN,"Former Starbucks CEO Howard Schultz was heckled at a book event by a protester: ""Don't help elect Trump!""… https://t.co/vblJKXNwTn",Thu Jan 31 03:16:00 +0000 2019,-0.3716,0.0,0.863,0.137
134,CNN,The House Homeland Security chairman said he would not hesitate to issue a subpoena for Homeland Security Secretary… https://t.co/En9RgIv6zJ,Thu Jan 31 03:08:34 +0000 2019,0.6822,0.306,0.694,0.0
135,CNN,"RT @CuomoPrimeTime: Fmr NJ @GovChristie slams Jared Kushner, Rick Dearborn and Steve Bannon for surrounding Pres. Trump with the wrong peop…",Thu Jan 31 03:05:16 +0000 2019,-0.4767,0.0,0.866,0.134
